Priorità,ISBN,Titolo,Sottotitolo,Autore,Formato,Pagine,Editore,Data di edizione,Nota privata
"Medio","[9788830439009]","Contro la decrescita","Perchè rallentare non è la soluzione","Luca Simonetti","Paperback","259","Longanesi","[2014-xx-xx]",""
"Medio","[9788830722095]","I rifiuti? Non esistono!","Due o tre cose da sapere sulla loro gestione","Marco Boschini, Ezio Orzes","Paperback","59","EMI (Gli infralibri)","[2014-10-xx]",""
"Medio","[9788822062949]","Pinocchio e la scienza","Come difendersi da false credenze e bufale scientifiche","Silvano Fuso","Paperback","271","Dedalo","[2006-01-01]",""
"Medio","[9788871684369]","Il caso Jane Eyre","","Jasper Fforde","Paperback","382","Marcos y Marcos (Gli alianti, 132)","[2006-04-xx]",""
"Medio","[9788804570820]","L'illusione di Dio","Le ragioni per non credere","Richard Dawkins","Copertina rigida","400","A. Mondadori (Saggi)","[2007-08-xx]",""
"Medio","[9788806197308]","Sarà vero","La menzogna al potere: Falsi, sospetti e bufale che hanno fatto la storia","Errico Buonanno","Paperback","363","Einaudi (Stile Libero Extra)","[2009-01-01]",""
"Medio","[9788884905970]","Io e loro","Cronache di un marito","Brunella Gasperini","Altri","189","Baldini Castoldi Dalai","[2004-01-01]",""
"Medio","[9788866213093]","Indignazione","","Philip Roth","Paperback","141","Einaudi (Numeri primi)","[2011-01-01]",""
"Medio","[9788868330583]","L'arte di mentire a se stessi e agli altri","","Giorgio Nardone","Paperback","142","Ponte alle Grazie","[2014-xx-xx]",""
"Medio","[9788842907466]","Neuromante","","William Gibson","Paperback","256","Nord","[1993-11-01]",""
"Medio","[9788820056247]","Pensare freakonomics","Un metodo non convenzionale per risolvere tutti i problemi","Steven D. Levitt, Stephen J. Dubner","Copertina rigida","240","Sperling & Kupfer (Saggi)","[2014-06-17]",""
"Medio","[9788868264321]","Breaking Beppe","Dal Grillo qualunque alla guerra civile simulata","Giuliano Santoro","Paperback","220","Castelvecchi","[2014-07-05]",""
"Medio","[9788804559238]","L'attentatrice","","Yasmina Khadra","Paperback","232","Mondadori","[2006-01-01]",""
"Medio","","Bologna Social Enclave","racconto","Wu Ming","eBook","7","Wu Ming Foundation","[2001-01-01]",""
"Medio","[9781861978776]","Born to Run","The Hidden Tribe, the Ultra-Runners, and the Greatest Race the World Has Never Seen","Christopher McDougall","Paperback","304","","[2010-04-15]",""
"Medio","[9788834709405]","Perdido Street Station","","China Mieville","Paperback","744","Fanucci","[2003-01-01]",""
"Medio","[9788889479001]","Il potere della stupidità","","Giancarlo Livraghi","Altri","148","Monti & Ambrosini","[2004-01-01]",""
"Medio","[9788889479094]","Mentire con le statistiche","","Darrell Huff","Copertina rigida","206","Monti & Ambrosini","[2007-01-01]",""
"Medio","[9781781683323]","The Frontman","Bono (In the Name of Power)","Harry Browne","eBook","192","Verso","[2013-06-10]",""
"Medio","[9788804629269]","Effetti collaterali","Come le case farmaceutiche ingannano medici e pazienti","Ben Goldacre","Copertina rigida","416","A. Mondadori","[2013-04-xx]",""
"Medio","[9788861593039]","La cattiva scienza","","Ben Goldacre","Altri","297","Bruno Mondadori (Presente storico)","[2009-01-01]",""
"Medio","[9788804320173]","La casa degli invasati","","Shirley Jackson","Paperback","215","Arnoldo Mondadori (Oscar Horror, 2)","[1989-03-01]",""
"Medio","[9788831794541]","L'estate dei morti viventi","","John Ajvide Lindqvist","Paperback","377","Marsilio (Farfalle)","[2008-05-28]",""
"Medio","","Il giorno dei Trifidi - Il risveglio dell'abisso - I figli dell'invasione - Chocky","I Massimi della Fantascienza 5","John Wyndham","Copertina rigida","526","A. Mondadori","[1984-06-01]",""
"Medio","[9788833916521]","Il terzo scimpanzé","Ascesa e caduta del primate homo sapiens","Jared Diamond","Paperback","480","Bollati Boringhieri","[2006-01-01]",""
"Medio","[9788804621089]","Pensieri lenti e veloci","","Daniel Kahneman","Paperback","560","Arnoldo Mondadori","[2012-04-01]",""
"Medio","[9788834711132]","Tutti i racconti 1969-1992","","J. G. Ballard","Altri","633","Fanucci","[2005-01-01]",""
"Medio","","Incubo a quattro dimensioni","","J. G. Ballard","Paperback","224","Mondadori (Oscar Fantascienza, 842)","[1978-02-01]",""
"Medio","","I segreti di Vermilion Sands","Orizzonti IX","J. G. Ballard","Paperback","214","Fanucci","[1976-02-01]",""
"Medio","[9788807701801]","Regno a venire","","J. G. Ballard","Altri","293","Feltrinelli","[2006-01-01]",""
"Medio","","Obbedienza all'autorità","Uno sguardo sperimentale","Stanley Milgram","Copertina rigida","205","Fabbri (La grande biblioteca della Psicologia)","[2007-01-01]",""
"Medio","[9788889164198]","Masters of Doom","Ovvero come due ragazzi hanno creato un impero e trasformato la cultura pop","David Kushner","Altri","292","Multiplayer.it","[2005-01-01]",""
